km,brand,model,year,fuel_type,power,cylinder_capacity,transmission,pollution_norm,gearbox,body_type,number_of_doors,color,number_of_seats,color_option,vin,country_of_origin,owned,vehicle_condition,co2_emission,path_images,price,ad_id
202 524 km,Renault,Trafic,2019,Diesel,145 CP,1 598 cm3,Fata,Euro 6,Manuala,Monovolum,4,Alb,6,Metalizata,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImF1ZXhyM203eWNrODMtQVVUT1ZJVFJPIn0.Ub8vw6rpejbKr5iP8L-8H3Im5yLHHuA97cNj659-_lc/image;s=320x240,18 988,76c4b6ef-7bfb-4486-a196-85f7d172ae62
245 765 km,Peugeot,308,2018,Diesel,130 CP,1 499 cm3,Fata,Euro 6,Manuala,Combi,5,Gri,5,,,Olanda,,Second hand,45 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpzY2RteHJ4dXMzNTEtQVVUT1ZJVFJPIn0.4GGaGfzzEUnBAkhCP1A8jB3NA11enNw5k80LDaVOnTo/image;s=644x461,9 999,ae975240-b127-4562-a816-cf2e1798e221
112 417 km,Volkswagen,Jetta,2017,Diesel,110 CP,1 968 cm3,Fata,Euro 6,Manuala,Sedan,4,Albastru,5,Metalizata,,Romania,Da,Second hand,105 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlobG5tOW0wMXI0bi1BVVRPVklUUk8ifQ.uhoAlB1EI7qIi-d36txnqmQJcS8QjkVAI4DOe1tr-VE/image;s=644x461,13 690,37e95333-505e-4780-bed0-d0df8a08bd5a
10 km,Jeep,Grand Cherokee,2021,Benzina,296 CP,3 604 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Alb,7,,Da,Statele Unite ale Americii,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBneDI2NG5yaHBoYjMtQVVUT1ZJVFJPIn0.jMH6lh8EvF6NKBc8iqnNvIfsT_4NGbu9TWGCj7Vv5us/image;s=320x240,69 990,f33c7929-b14f-484b-abe4-4214982a4e53
130 365 km,Renault,Espace,2015,Diesel,160 CP,1 598 cm3,Fata,,Automata,Monovolum,5,Alb,7,Metalizata,,Franta,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inh3bG5zN21jaWdqdDItQVVUT1ZJVFJPIn0.GfcoeVMctszSyN-d1QNrV9Yu6UFuaf3ZwRxU2KsjcmY/image;s=320x240,16 990,fcdfba93-a90c-4db6-874e-69fecb1591a5
20 km,Opel,Movano,2022,Diesel,165 CP,2 179 cm3,,Euro 6,Manuala,Monovolum,,Alb,,,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFhMnJ6bXNxYTNsYzItQVVUT1ZJVFJPIn0.OLTsZvPnoXsqcnrBZ5OwdlJVgClfJijFzSmKIG3QOaI/image;s=644x461,34 510,4658802d-1c28-4a22-b564-a0392e80ac21
214 437 km,Renault,Trafic,2020,Diesel,125 CP,1 598 cm3,,,Manuala,Monovolum,4,Alb,3,,,Franta,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNkZndhbnRzNmIxNTMtQVVUT1ZJVFJPIn0.fvSWzdrGGLfd57Y0oUJHfunZCvndj28IIKcSkQhhDzI/image;s=320x240,15 489,194a4bd7-5aa0-48e5-b3d4-c4d15fc5cef7
298 400 km,BMW,Seria 3,2006,Benzina,150 CP,1 995 cm3,Spate,,Manuala,Sedan,5,Negru,,,Da,,,Second hand,182 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRxMzM0Nzg0ZTdyYjItQVVUT1ZJVFJPIn0.AfbSVK7fvtVCPsF8bR4n2lid8NtPw9cyvTbQ0NTzttk/image;s=320x240,4 950,090f0b36-5c2e-4a44-b382-79be7814fe9d
218 000 km,SsangYong,Korando,2011,Diesel,175 CP,1 998 cm3,4x4 (manual),Euro 5,Manuala,SUV,5,Alb,5,Metalizata,Da,,,Second hand,169 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFoczAxZmd1cThuZjMtQVVUT1ZJVFJPIn0.WUHHPf7JMwXLO102SNSOu8tKRq3oyyAFNVDqRJUeVC8/image;s=320x240,6 999,628c5ef6-df19-4e0e-bcf0-d2d18726bd8e
74 090 km,Ford,Focus,2020,Diesel,120 CP,1 499 cm3,Fata,Euro 6,Manuala,Combi,5,Alb,5,Metalizata,,Romania,Da,Second hand,98 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVxZmoxZmZkbm9vdDItQVVUT1ZJVFJPIn0.pLqnvGtChuUxpPUz3GOT4IOlD9C3QwnKIB7GW_rQxYg/image;s=644x461,13 489,182f9be4-6d5a-4692-9b8a-2b1151df746d
154 572 km,Peugeot,5008,2020,Diesel,130 CP,1 499 cm3,Fata,Euro 6,Automata,SUV,5,Negru,7,Metalizata,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InV3bG5pdnZybG9ibDMtQVVUT1ZJVFJPIn0.EguuNcUJ5gsQ_QZKhmTGaPHYvYl8gG55d9whuoSTv1Y/image;s=320x240,19 989,17199c14-4a07-4ac5-a034-c84feab15b67
94 000 km,Smart,Fortwo,2004,Benzina,61 CP,698 cm3,,Euro 4,Automata,Cabrio,2,Argint,,Metalizata,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdtbmptcXQ3MW5sMTEtQVVUT1ZJVFJPIn0.Te1GMFfQfV8PUShFznUmPd1OXfYVYqyejumfoJ_1w2k/image;s=644x461,2 299,f2bf4eab-5ba5-4699-84ed-1c6b12c287d9
168 696 km,Audi,A3,2019,Diesel,149 CP,1 968 cm3,Fata,Euro 6,Automata,Sedan,4,Negru,5,Metalizata,,Franta,,Second hand,115 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ink3MnBldThxbmpjZjEtQVVUT1ZJVFJPIn0.gPUW--oEzpz6ExhgKk0aH3LGBHjAkJNT3AspXpi757g/image;s=320x240,18 489,c198a838-4ffd-495c-8f1f-51078241eb40
223 000 km,Volkswagen,Golf Plus,2011,Benzina,122 CP,1 390 cm3,,,Manuala,Monovolum,5,Gri,5,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImM2NG9zNHo3d2h4NTMtQVVUT1ZJVFJPIn0.9hrTXji7_ahI3KLW-pEvNWccTHQcTH7ZO9d5Gm6CZpo/image;s=644x461,6 400,3ff6a5af-c1c0-48f2-886f-714fa0d97d75
237 000 km,Nissan,Qashqai,2007,Diesel,106 CP,1 461 cm3,,Euro 4,Manuala,SUV,5,Alb,5,,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFiZDlkZHY0anNrNTItQVVUT1ZJVFJPIn0.Gcf497rztPnReqNiRj8iFuFHCtxlYY0k9q9qvWrMnZw/image;s=644x461,5 499,6bc4452d-2744-4980-9d77-e8314c8dfee9
227 106 km,Volkswagen,Passat,2016,Diesel,150 CP,1 968 cm3,Fata,,Automata,Combi,5,Gri,5,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFhcTJuMTBtd2szcDItQVVUT1ZJVFJPIn0.sSizaisWdkGiZalh2_6DCgQ5u6ODNG35vwod3G49oJg/image;s=320x240,12 490,b6147fc6-3c05-40a2-806a-fe6a7714958d
27 900 km,BMW,X5,2019,Diesel,265 CP,2 993 cm3,,Euro 6,Automata,SUV,5,Albastru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhuY2Y4MWN1aG9ncTEtQVVUT1ZJVFJPIn0.duJKWCpc4T2POEzBC6WkmFSmjd2LhA5exjPlD6XI3II/image;s=644x461,59 990,f6c3c2a3-dfdb-44cb-b3ce-5949c48435d1
79 465 km,BMW,Seria 3,2019,Diesel,190 CP,1 995 cm3,Spate,Euro 6,Automata,Sedan,4,Albastru,5,Metalizata,Da,Danemarca,Da,Second hand,110 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InIwMnZrbmhvY20xcS1BVVRPVklUUk8ifQ.Yzkh0kFKIS36opbBCK978IvsJvSmdZlASejp73ku6ao/image;s=644x461,28 900,9b05121d-a3ec-47b4-9535-9607464ec15c
212 007 km,Ford,Focus,2010,Diesel,100 CP,1 560 cm3,,,Manuala,Compacta,3,Albastru,,,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJ0bDdpd2JseGhtdzEtQVVUT1ZJVFJPIn0.ercR4D6IAKYpNecCDaeusDGmcHFl58DQKfBgjNR9iis/image;s=644x461,3 799,83d983e5-79d7-4757-940f-656afe173893
29 000 km,Mercedes-Benz,CLA,2022,Benzina,421 CP,1 991 cm3,,,Automata,Sedan,4,Argint,5,Mat,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjUyczI2MDczZG1xODEtQVVUT1ZJVFJPIn0.rG53zIkLNyLkqmH8pNJJdApav77rg5wpwAgQvDfpAog/image;s=644x461,71 999,65355676-57bc-4cbc-a350-c2056ac4a070
191 000 km,Dacia,Logan,2011,Benzina,84 CP,1 598 cm3,Fata,,Manuala,Combi,5,Negru,5,,Da,Olanda,,Second hand,169 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inp6cTd2ZnFscHNsbDEtQVVUT1ZJVFJPIn0.ybSYojAZtZP2k8SGSwFJLYjJcu87iHDiZhYeoZXqouE/image;s=320x240,4 199,be9b23fb-d850-41ea-a84e-360f15bf45b8
199 990 km,BMW,X5,2017,Diesel,231 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,5,Metalizata,,,Da,Second hand,146 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjY2YndxaTBkajFwLUFVVE9WSVRSTyJ9.NJaWkYD8_xasetI2LROZ8Bf1_-5hy931Y64RAwp83O8/image;s=644x461,27 890,ef4190b3-51c9-4e96-b4c6-a545c4625ca3
222 000 km,Jaguar,XF,2008,Diesel,207 CP,2 720 cm3,Spate,Euro 4,Automata,Sedan,4,Negru,5,Metalizata,Da,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJkNjJtZnFtYWM4NzItQVVUT1ZJVFJPIn0.nst452k09enDBZoiQYJGlR2xgClONIs-96bR13l8nGg/image;s=320x240,5 990,f79d3bf7-e71e-4611-a486-0c65dd9d51a6
152 600 km,Dacia,Sandero,2011,Benzina,75 CP,1 149 cm3,Fata,,Manuala,Compacta,5,Gri,5,,Da,Belgia,Da,Second hand,135 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ing2OGN6c3I5OXM1Ni1BVVRPVklUUk8ifQ.j2pHYLKLMPBW8qtoNYmdSScuC9w-vZrgGbZZVQqUgcE/image;s=320x240,3 490,90c7b123-b852-47c2-b91b-1d462723a3af
25 900 km,Land Rover,Range Rover,2021,Hibrid,300 CP,1 997 cm3,,,Automata,SUV,5,Negru,4,Perlat,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InB4ZHhic2J4cWx4by1BVVRPVklUUk8ifQ.9Ezam2RRQetTrDVkYaYDEfYyIiySFGNfOur-1IQcgBQ/image;s=644x461,164 999,3aa89d33-40a0-4257-9c0a-386e620f37e8
178 000 km,Renault,Captur,2016,Benzina,90 CP,898 cm3,Fata,Euro 6,Manuala,SUV,5,Maro,5,Metalizata,Da,Belgia,Da,Second hand,123 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImhnM2tucWUwODNpYzMtQVVUT1ZJVFJPIn0.eGiwExb4Cbgggb0_UnZCy12rtJKx3gprRP7TV8mtd4I/image;s=320x240,8 190,111eb465-60b6-4ba8-a9ca-4a3a2a2480c1
190 825 km,Peugeot,3008,2018,Diesel,120 CP,1 560 cm3,Fata,Euro 6,Automata,SUV,5,Negru,5,Metalizata,Da,,,Second hand,108 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJ2eDR1amRnZzlwbzMtQVVUT1ZJVFJPIn0.cjsxjWfNX0MLDYLU-vpXDBlnltjPnRwkurgNU0I8pHQ/image;s=320x240,17 498,e604cc89-32fd-4ec2-b9db-ccd8dde6809f
119 250 km,Renault,Megane,2019,Diesel,115 CP,1 461 cm3,Fata,Euro 6,Manuala,Combi,5,Alb,5,Metalizata,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZjYzduOWsxZjk5cTItQVVUT1ZJVFJPIn0.FMcUhBGiaW2nO-Wy8kOElCtgwd2OsLX6uX9CAfaO98U/image;s=320x240,12 350,8729b2e6-3f19-4e2b-8252-3b7795965a52
3 105 km,Mercedes-Benz,GLC,2022,Hibrid,252 CP,1 999 cm3,4x4 (automat),,Automata,SUV,5,Albastru,,,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjF5M3gxaGlveWwzdTItQVVUT1ZJVFJPIn0.0f4aUI1w95DyTRccT-ILjD6Qh69vXjP3CQt5mqQ4Vig/image;s=644x461,81 030,1af14517-fbf8-45cf-9c87-4b18348c1338
2 km,Mercedes-Benz,GLE,2023,Benzina,435 CP,2 999 cm3,4x4 (automat),,Automata,SUV,5,Negru,,,,,,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InY0ZnJhOHM0cm51My1BVVRPVklUUk8ifQ.kNz4dBAo8dJsVACgbipG6Alvw9OCMKLRMVYYpnfZVZk/image;s=644x461,124 092,f9808a45-3c6d-4e31-810e-078ae1ad54a4
10 km,BMW,X5,2023,Diesel,286 CP,2 993 cm3,4x4 (automat),,Automata,SUV,5,Alte culori,5,,,,Da,Nou,150 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndvZGRkZnV3MWNndDItQVVUT1ZJVFJPIn0.9twaqWT635-8lorspBfRUARPdEbiaVpihpreAto8B8k/image;s=644x461,75 324,6a82390a-a8ad-405b-97b2-aa018bf55739
100 km,Audi,A4,2023,Diesel,163 CP,1 968 cm3,Fata,,Automata,Sedan,4,Negru,5,,Da,Romania,Da,Second hand,136 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImIzNjhoOGs0ZWxndzItQVVUT1ZJVFJPIn0.8ysDlmO6B_l5EFTn4KR0-RMOS0wZ2d6xu6FBXHPglyE/image;s=644x461,55 329,01979e3f-87c6-4475-861b-14205c85974c
218 141 km,Peugeot,308,2015,Diesel,120 CP,1 560 cm3,Fata,Euro 6,Manuala,Compacta,5,Gri,5,,,Olanda,,Second hand,82 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJzc2E1bjdsOWt1ZTMtQVVUT1ZJVFJPIn0.yycOKMS78aODlX-qZ-Yo4i3jBcW63fJilezXA1VxqaM/image;s=644x461,7 999,4e0159f9-6361-49ce-9dfb-cdcd71f79e0c
2 865 km,Dacia,Duster,2023,Diesel,115 CP,1 461 cm3,4x4 (automat),Euro 6,Manuala,SUV,5,Negru,5,Metalizata,Da,Romania,Da,Second hand,139 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im01a29sb3VnMGxvNS1BVVRPVklUUk8ifQ.B5N7y5CGG5DipvQisO4rNW9ipfH9veAsEqQ0-VWAmdA/image;s=320x240,23 500,a917c432-1f5d-4fa6-a0e0-5d2c5c29af8c
140 000 km,Audi,A5,2018,Benzina,150 CP,1 395 cm3,Fata,Euro 6,Automata,Sedan,5,Gri,5,Metalizata,Da,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InoyanZ0MGZlZTNtNTItQVVUT1ZJVFJPIn0.fE2YkQ6WmPFy3YmKDZizCBy-zTU2SXTeZfIzeYHOo48/image;s=644x461,21 949,ed71aa96-c27b-448a-814f-54d7bff0bece
172 000 km,Nissan,Qashqai,2011,Diesel,149 CP,1 995 cm3,4x4 (automat),Euro 5,Automata,SUV,5,Negru,5,Metalizata,Da,Franta,,Second hand,184 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjM3YjQzbTV5em51dzEtQVVUT1ZJVFJPIn0.bbvw8sRv2oD7Fz6vgpFbSlOosvuHFCMeCsX6pH3I8n0/image;s=320x240,8 500,5ef0b4b5-eb50-4dbb-b76a-33e0f1278677
157 740 km,Audi,Q3,2015,Diesel,177 CP,1 968 cm3,4x4 (automat),Euro 5,Automata,SUV,5,Gri,5,Metalizata,Da,,Da,Second hand,156 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjB2ZWZuODcxbnozMzEtQVVUT1ZJVFJPIn0.GYawAO3EqZEezes8VZcRJHEFhXkGoBCRntLC0nlRneM/image;s=320x240,15 990,9ac8ecd1-8577-4327-8e29-5cbeb51a0de7
2 km,Mercedes-Benz,GLC,2023,Hibrid,204 CP,1 999 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Albastru,,,,,,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJjZmk4dTRjd2YzMzMtQVVUT1ZJVFJPIn0.157FLJaVnrTE0nKsrm1kKcaUw-vHR79CehNVb5GRMtw/image;s=644x461,86 383,bac662de-2d2e-4e5d-8d48-c81ca7546848
171 500 km,Seat,Ateca,2020,Diesel,190 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,5,Metalizata,,Germania,,Second hand,140 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im5zdjh5bWJtcnE0OC1BVVRPVklUUk8ifQ.415EROOFOtdVMh3S4j6GQLiIFU0-BG-4tkCSRlSDQJg/image;s=320x240,22 015,501d7775-e46e-4fff-a79f-0b1c52072b70
187 330 km,Renault,Megane,2018,Benzina,116 CP,1 332 cm3,Fata,Euro 6,Manuala,Compacta,5,Alb,5,Metalizata,Da,,Da,Second hand,124 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhoYTdkdmNuaWdyaDEtQVVUT1ZJVFJPIn0.z6nor1OoqT9nVG4as5XhrXnDsRQ-RcXMedj3fBEnsLk/image;s=644x461,9 949,941ae741-f8c6-499a-b3b7-104ec2ef50e6
32 000 km,BMW,X6 M,2022,Benzina,625 CP,4 395 cm3,,,Automata,SUV,5,Argint,5,Perlat,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImkwY215ZnppZHF1MzItQVVUT1ZJVFJPIn0.7Hlf-mW8NgnvLNfQxYU_1dY_BMvap5KOf7jdLmBh358/image;s=644x461,109 999,67da3bce-9bbc-48f3-b4d1-cf79c1b943a0
118 256 km,Toyota,C-HR,2018,Hibrid,98 CP,1 798 cm3,Fata,Euro 6,Automata,SUV,5,Gri,5,Metalizata,,Italia,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhmMGo3MGhnYXBhNi1BVVRPVklUUk8ifQ.1bj-GTaqLoups0Gra7dIa83KaZ_5d6rCuVY4wiM9tY4/image;s=320x240,17 489,0eb37c8c-b260-4341-a37f-f12963cd68dd
172 397 km,BMW,X6,2015,Diesel,258 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Maro,5,Perlat,Da,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImliZHk4ZmNwdHBnZC1BVVRPVklUUk8ifQ.Y5a3XLq9m33OwLKSJQ5fNCJC-ifuSACUGkWJN6XH54s/image;s=644x461,32 500,3350f7f0-ea5f-404c-950d-3a1ca5fa4261
30 154 km,Peugeot,3008,2021,Hibrid,181 CP,1 598 cm3,Fata,Euro 6,Automata,SUV,5,Gri,5,Metalizata,Da,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJsdGcxdzJxeGNrYTItQVVUT1ZJVFJPIn0.0eMEN88ti_ASYrS0PNBl5qHckCvH_5St8_1NFPKgkrs/image;s=320x240,26 990,69d2668c-6c28-445f-851a-ee0b02672ad9
131 343 km,Volkswagen,Transporter,2019,Diesel,102 CP,1 968 cm3,Fata,,Manuala,Monovolum,5,Alb,3,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZhYTRocjN0Nm8yZDItQVVUT1ZJVFJPIn0.4EtOKpUFg4FMbY0goMBK2PNYGJJDrM-Zp51biNJzHVE/image;s=320x240,17 200,bff3071c-30c2-4042-aaa2-f6c938818ae0
168 037 km,Volkswagen,Touareg,2015,Diesel,263 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,SUV,,Alb,,Metalizata,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjI2amV2cXNhcDZjZS1BVVRPVklUUk8ifQ.qD9VZ5SZ9RLdAXli5EC2J1T0jXAzE30RSlQhPHEj4Q8/image;s=644x461,29 738,c128e1d0-12c9-4055-8143-beffc7235788
10 km,BMW,X6,2023,Diesel,298 CP,2 993 cm3,4x4 (automat),,Automata,SUV,5,Alte culori,5,,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRsMWQxcHN3NHpnYTItQVVUT1ZJVFJPIn0.vUskwa6GEGHAe3dm_jI46kHisdx9CqVFhRs99YP9KG4/image;s=644x461,79 689,82a045fb-0b57-4e9c-abca-367b55c4cf71
195 000 km,BMW,Seria 5,2016,Diesel,313 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,Sedan,4,Negru,5,Metalizata,,,,Second hand,110 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBvcW8wNHZnc2hlaDEtQVVUT1ZJVFJPIn0._XMjOXwNPofnkzDJkcUpBLlSVKDEYFbLFNrKnDOUEqs/image;s=320x240,18 950,e934b73a-24f5-436d-8899-95f6dd9fa536
216 000 km,Mercedes-Benz,E,2017,Diesel,194 CP,1 950 cm3,,,Automata,Sedan,5,Negru,5,,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imx0bjN2bmltaTBqNjMtQVVUT1ZJVFJPIn0.LO3gYE8aYSA5T5WMNQsX08yB1Rwfbwv8P50RtNRbpeo/image;s=320x240,24 900,5df3578c-dde7-4a29-84df-319c77ad1dba
167 km,BMW,X6,2018,Diesel,313 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Alb,5,Perlat,,,,Second hand,110 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im5jenpycGpjeGU1bDEtQVVUT1ZJVFJPIn0.s-diP2IzHrpot23D0iKha7hwsstwgoNeb16TagTsDS8/image;s=320x240,36 999,c6565b4b-988b-4621-8fdc-027b3641bc4a
126 438 km,Seat,Leon,2019,Diesel,183 CP,1 968 cm3,Fata,Euro 6,Automata,Compacta,5,Negru,5,Metalizata,,Germania,,Second hand,125 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNzNTJ3anA4OXM3MzEtQVVUT1ZJVFJPIn0.crw0G1YswWRwvCtNmoEcMKFV3SDJS7Pfog1Qfk_Bssc/image;s=320x240,17 850,6f75f51d-9bba-4575-ac00-84aa8a20fb2d
178 000 km,Audi,A6,2016,Diesel,190 CP,1 968 cm3,,,Automata,Combi,4,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im81cWdmNGd5NDcybTItQVVUT1ZJVFJPIn0.MslQxzc_HQEeGemwfuBnt7qNDD3PVVMQC4B6wTHgT8I/image;s=320x240,14 800,9bc0f975-5fc9-443e-8fc8-0ae37196cd27
187 200 km,Volkswagen,Golf,2018,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Manuala,Combi,5,Alb,5,Metalizata,Da,Germania,Da,Second hand,109 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InE3Mmx3d2N4aW5rdy1BVVRPVklUUk8ifQ.Uxz5OdYr6G1j73dWuJ4B0jw5kdQP-Ko40-QGILJNseM/image;s=644x461,11 998,10f06391-73cb-4458-b5ef-553c58e59914
18 241 km,Mercedes-Benz,E,2021,Benzina,197 CP,1 991 cm3,4x4 (automat),Euro 6,Automata,Sedan,4,Negru,,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InY1eGt6ZW5iZ291bDItQVVUT1ZJVFJPIn0.n3hKVTb1sAcYXThNXck9rHtL-a7vvIW4ThmsDLkm8gU/image;s=644x461,52 241,e41a0fa0-7a60-40e9-aa76-14369c34710c
232 000 km,Volkswagen,Tiguan,2012,Diesel,140 CP,1 968 cm3,4x4 (automat),Euro 5,Automata,SUV,5,Albastru,5,Metalizata,Da,,Da,Second hand,167 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijh3cmwxcGk0MGViMTItQVVUT1ZJVFJPIn0.J-yoh_YK6u_2YMUt1H2E3BRit2jdOCdoWz_zrCOXY2s/image;s=644x461,12 500,97283e10-2a40-4270-a980-23c8cb10403c
172 000 km,Nissan,Juke,2015,Benzina,117 CP,1 598 cm3,,,Manuala,SUV,5,Negru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Iml5eDZhbmM0ZW05bTItQVVUT1ZJVFJPIn0.i04sLEEnBQ_FA5YQwN_jqqlPfk5wF5dcLWFUdoLTi-o/image;s=644x461,10 000,8fb6fcf1-bd28-4b68-8b65-9d31aeac1af6
230 000 km,Audi,A3,2012,Benzina,160 CP,1 798 cm3,Fata,Euro 5,Manuala,Masina de oras,5,Galben/Auriu,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImV3anNncGd5eXR2eDEtQVVUT1ZJVFJPIn0.bGbXXNRUISl1pz3nRHOsZXiQbnmkWaulbzu7Ms_oNQ4/image;s=644x461,6 750,e4c44c25-d650-4732-a012-59ccd127a9ed
181 000 km,Suzuki,Grand Vitara,2012,Diesel,129 CP,1 870 cm3,4x4 (manual),Euro 5,Manuala,SUV,5,Negru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imo1OXBsMzh1N2lzaDMtQVVUT1ZJVFJPIn0.28Uy6HmCu5WbBIGNrVR4GLr3y02-ZLnPv1BOSg7tbKw/image;s=644x461,8 999,40210b51-34b7-4712-bde8-8f13b2085004
227 000 km,Skoda,Fabia,2012,Diesel,75 CP,1 199 cm3,Fata,Euro 5,Manuala,Combi,5,Maro,5,Metalizata,Da,Belgia,,Second hand,89 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InAwcnozb2h3ZjR0ei1BVVRPVklUUk8ifQ.-Qc5-xzDADyjHkbmBCSZEWSzl7PGffJ2c5xcTXRNUs8/image;s=320x240,4 190,1721a23b-7638-4372-bc5f-ab8c2f2e5ce1
275 000 km,Peugeot,308,2011,Diesel,110 CP,1 560 cm3,,,Manuala,Combi,5,Gri,7,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpjemVkYTBudnRpcjEtQVVUT1ZJVFJPIn0.9JP_oYuHjwOGwr_EeqEqSGYuRSF5JT5L099KIooa9vI/image;s=320x240,3 700,54535dbe-c3dd-47b8-82bd-a391802b1ba0
248 000 km,BMW,M5,2019,Diesel,400 CP,2 993 cm3,,,Automata,Sedan,4,Albastru,5,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1tbm4xbWpramQ1MzEtQVVUT1ZJVFJPIn0.xwVjASxTvNUVnCKASFH-5fg9DjxK06zvNq2xkLKulC0/image;s=320x240,40 000,f5320644-ac25-404f-a955-4b8f8e4691f7
